time_offset, x, y, speed
1.000000,502849.036055,457225.998706,0.184503
2.000000,502849.068869,457225.997554,0.182534
3.000000,502849.067834,457225.997268,0.112153
4.000000,502849.048609,457225.997712,0.064559
5.000000,502849.036094,457225.998254,0.069857
6.000000,502849.025198,457225.998529,0.025148
7.000000,502849.012115,457225.999297,0.007869
8.000000,502849.010299,457225.999325,0.037113
9.000000,502849.015702,457225.998933,0.046802
10.000000,502849.194194,457225.471752,1.024273
11.000000,502848.000209,457224.139941,1.679168
12.000000,502845.949234,457222.697908,2.436372
13.000000,502843.522428,457222.271624,2.339171
14.000000,502840.539570,457222.821485,2.873368
15.000000,502837.949707,457224.531730,3.062200
16.000000,502835.570905,457226.776327,3.451125
17.000000,502832.600142,457229.832199,4.149448
18.000000,502829.598341,457233.285309,4.468245
19.000000,502826.605759,457237.282880,4.624237
20.000000,502824.397689,457240.755986,4.513807
21.000000,502821.785251,457244.699326,4.520469
22.000000,502819.701221,457248.058859,4.341868
23.000000,502817.667733,457251.803898,4.278244
24.000000,502815.215017,457255.195668,4.286520
25.000000,502812.937981,457258.960925,4.510003
26.000000,502810.777945,457262.881627,4.517719
27.000000,502808.209588,457266.324428,4.735353
28.000000,502805.365360,457269.439154,4.358703
29.000000,502802.402180,457272.390173,4.272426
30.000000,502799.935263,457275.158850,3.867355
31.000000,502797.243238,457277.436992,3.850682
32.000000,502794.249451,457280.163560,4.017311
33.000000,502790.604912,457282.432787,3.882742
34.000000,502786.685780,457283.800234,3.887045
35.000000,502781.904622,457284.268145,4.369792
36.000000,502777.293753,457284.053690,4.555210
37.000000,502772.281155,457283.156606,4.743815
38.000000,502767.182069,457282.419426,4.705844
39.000000,502762.873551,457281.420495,4.473904
40.000000,502758.129580,457280.227370,4.572884
41.000000,502753.902432,457278.997768,4.605526
42.000000,502749.103842,457277.239680,4.876962
43.000000,502744.110635,457275.236379,5.101458
44.000000,502739.790554,457273.241872,4.895388
45.000000,502735.153477,457271.709084,4.726611
46.000000,502730.927140,457270.035855,4.615961
47.000000,502726.831404,457268.205494,4.700025
48.000000,502722.120205,457266.138089,4.889911
49.000000,502717.890482,457264.080305,4.816070
50.000000,502713.859247,457262.009021,4.776459
51.000000,502709.797729,457259.425522,4.782566
52.000000,502705.839025,457257.155877,4.659620
53.000000,502701.902676,457255.034050,4.597212
54.000000,502697.957751,457252.971219,4.535023
55.000000,502693.995026,457250.993733,4.374161
56.000000,502690.048220,457249.752417,4.109991
57.000000,502686.090663,457249.481791,3.915366
58.000000,502682.060099,457249.730651,3.826462
59.000000,502678.876804,457251.133265,3.154481
60.000000,502676.663195,457253.028494,2.650355
61.000000,502674.737349,457254.619005,2.553394
62.000000,502673.493742,457256.352796,1.973885
63.000000,502671.829564,457257.746488,2.352261
64.000000,502669.935354,457259.059302,2.603845
65.000000,502667.918681,457260.862886,2.717494
