time_offset, x, y, speed
1.000000,508437.000615,431956.419893,0.007945
2.000000,508437.000729,431956.198277,0.085363
3.000000,508437.327592,431955.530324,-0.046603
4.000000,508437.529324,431954.668430,-0.042597
5.000000,508437.663534,431954.341947,0.183251
6.000000,508437.757173,431954.227824,0.179851
7.000000,508437.823992,431953.555114,-0.090726
8.000000,508437.871891,431953.828413,0.198594
9.000000,508437.906635,431953.402150,0.000033
10.000000,508437.931979,431953.185689,0.040712
11.000000,508437.950206,431953.107119,0.088874
12.000000,508437.963502,431953.692043,0.337564
13.000000,508437.973259,431953.397906,0.120853
14.000000,508438.250553,431953.223221,0.109059
15.000000,508438.453251,431954.915317,0.630824
16.000000,508438.060567,431958.683972,1.320051
17.000000,508438.044075,431958.586110,0.206918
18.000000,508438.302632,431955.916635,-0.732883
19.000000,508439.031302,431949.869170,-1.892897
20.000000,508439.833796,431945.976380,-1.328965
21.000000,508440.420163,431943.335387,-0.875522
22.000000,508441.389555,431940.574001,-0.890361
23.000000,508442.367821,431937.668184,-0.934843
24.000000,508442.537986,431938.266766,0.165176
25.000000,508442.662224,431938.751189,0.235780
26.000000,508443.294628,431937.259051,-0.119368
27.000000,508444.281494,431936.307121,1.062469
28.000000,508446.697193,431936.812799,3.092850
29.000000,508451.143486,431937.637795,4.667313
30.000000,508457.344110,431938.126130,5.488445
31.000000,508463.519665,431937.943309,5.547683
32.000000,508469.493984,431938.094349,5.659025
33.000000,508480.308699,431926.020772,7.125145
34.000000,508491.843107,431915.697155,7.732813
35.000000,508500.453571,431907.079509,6.801659
36.000000,508507.583636,431900.659657,5.919032
37.000000,508511.351211,431897.222030,4.052144
38.000000,508512.873649,431898.358134,3.150120
39.000000,508512.643129,431901.188336,3.228656
40.000000,508512.099127,431905.834051,4.735867
41.000000,508510.878390,431912.182623,5.952440
42.000000,508509.642933,431921.607132,8.011944
43.000000,508508.495665,431933.328957,9.433859
44.000000,508507.356328,431948.616123,11.953773
45.000000,508505.158787,431962.753268,11.821830
46.000000,508501.960585,431975.868797,11.988662
47.000000,508497.988939,431991.678879,13.744348
48.000000,508493.951041,432006.902515,13.965447
49.000000,508489.813352,432020.887133,13.601206
50.000000,508486.102792,432032.921097,12.652286
51.000000,508482.938977,432045.239695,12.579881
52.000000,508479.795103,432057.987617,12.859865
53.000000,508476.823030,432071.617432,13.678056
54.000000,508474.255060,432082.518843,12.480252
55.000000,508471.663581,432094.441887,12.675962
56.000000,508469.448951,432106.440103,12.631408
57.000000,508467.109501,432118.481016,12.621626
58.000000,508464.941922,432130.465472,12.542397
59.000000,508463.155370,432144.845672,13.523733
60.000000,508461.421401,432159.252248,13.655540
61.000000,508460.288692,432175.891776,14.746097
62.000000,508459.056709,432189.454092,13.838701
63.000000,508458.718442,432203.033162,13.736085
64.000000,508457.821040,432218.119197,14.378355
65.000000,508456.453576,432233.348394,14.616450
66.000000,508453.994486,432248.559611,14.756769
67.000000,508450.419540,432262.540400,14.452999
68.000000,508446.921436,432276.466829,14.430767
69.000000,508443.338685,432292.838400,15.387015
70.000000,508439.154641,432307.456114,14.923658
71.000000,508433.786758,432321.701334,14.826843
72.000000,508428.424702,432333.377753,13.963231
73.000000,508423.379652,432345.573331,14.006375
74.000000,508418.335109,432357.065523,13.719316
75.000000,508413.614810,432368.116815,13.450831
76.000000,508408.893102,432377.922094,12.966977
77.000000,508404.114175,432387.174253,12.728372
78.000000,508397.526071,432403.370345,15.430296
79.000000,508392.074061,432416.972815,14.745332
80.000000,508387.148826,432426.031198,12.818957
81.000000,508382.557399,432435.096130,12.493384
82.000000,508379.126142,432445.479471,12.641238
83.000000,508376.513013,432454.379634,11.858696
84.000000,508374.747319,432464.825732,11.931086
85.000000,508373.529013,432475.037822,11.793423
86.000000,508372.100097,432487.538840,12.525234
87.000000,508370.228480,432499.400712,12.406833
88.000000,508368.382186,432511.928109,12.616743
89.000000,508366.817114,432525.393904,13.088184
90.000000,508364.867170,432536.954433,12.507212
91.000000,508363.241566,432548.600208,12.426029
92.000000,508361.868817,432562.238279,13.135040
93.000000,508360.298328,432575.088882,12.984544
94.000000,508358.633090,432587.415802,12.803116
95.000000,508356.394354,432600.756787,13.239007
96.000000,508355.058054,432612.125247,12.514828
97.000000,508353.638296,432623.103721,12.182795
98.000000,508353.259792,432633.958842,12.024414
99.000000,508354.032385,432645.416514,12.105643
100.000000,508356.020378,432656.016334,11.776279
101.000000,508357.933695,432666.194516,11.534291
102.000000,508359.040211,432675.574663,11.162325
103.000000,508359.713440,432684.608345,10.968557
104.000000,508360.009540,432694.144647,11.030491
105.000000,508359.609005,432704.597097,11.427338
106.000000,508358.397631,432717.320934,12.409864
107.000000,508356.238691,432729.884000,12.558163
108.000000,508353.425863,432740.995862,12.139683
109.000000,508350.309679,432751.978521,12.077807
110.000000,508347.102613,432763.590856,12.333900
111.000000,508343.965507,432774.259510,11.853919
112.000000,508340.733987,432785.597264,11.996342
113.000000,508337.530988,432797.379508,12.221763
114.000000,508334.269310,432809.338523,12.362459
115.000000,508330.994813,432820.673722,11.987417
116.000000,508327.347210,432832.327415,12.039077
117.000000,508323.466317,432843.592807,11.884491
118.000000,508319.492787,432855.252028,11.947357
119.000000,508316.192489,432866.400993,11.668882
120.000000,508312.714260,432876.836627,11.350577
121.000000,508309.226390,432885.160071,10.438984
122.000000,508305.475880,432893.695926,10.439344
123.000000,508301.491452,432901.883142,10.291472
124.000000,508298.675372,432909.099176,9.656364
125.000000,508295.380717,432916.680288,9.666241
126.000000,508292.363822,432923.270552,9.061214
127.000000,508289.941564,432929.271610,8.468231
128.000000,508287.690813,432935.651628,8.361352
129.000000,508285.899347,432939.975969,7.349151
130.000000,508284.228497,432943.240093,6.611637
131.000000,508282.620471,432948.460534,7.157494
132.000000,508280.588958,432957.230237,8.469520
133.000000,508279.939425,432961.021626,6.649844
134.000000,508279.577551,432961.537751,5.112689
135.000000,508279.005882,432961.945800,4.751148
136.000000,508278.918484,432962.434663,4.397312
137.000000,508278.619325,432962.500382,3.923609
138.000000,508278.389634,432962.940542,3.827108
139.000000,508278.336312,432961.779488,2.897393
140.000000,508277.823438,432963.502510,3.786011
141.000000,508277.135505,432965.580861,3.934157
142.000000,508276.737419,432965.780343,3.129320
143.000000,508276.476749,432966.226220,3.000893
144.000000,508276.292902,432966.936852,2.982703
145.000000,508276.249037,432965.958904,2.207046
146.000000,508276.233028,432964.729419,1.849530
147.000000,508276.636886,432961.025074,0.578848
148.000000,508277.485394,432957.368882,0.267478
149.000000,508277.992956,432955.817027,0.832190
150.000000,508278.352378,432955.305074,1.147178
151.000000,508278.828874,432953.981428,0.804379
152.000000,508279.310042,432951.607000,0.300451
153.000000,508279.479191,432948.123574,-0.300510
154.000000,508279.328554,432945.298472,-0.269388
155.000000,508279.466642,432942.447023,-0.329433
156.000000,508279.391420,432940.576443,-0.073891
157.000000,508279.483831,432939.850097,0.314613
158.000000,508279.623451,432939.614204,0.484238
159.000000,508279.800842,432937.854796,-0.084792
160.000000,508279.781035,432935.185248,-0.642289
161.000000,508279.784612,432932.780365,-0.624965
162.000000,508279.553083,432932.766041,0.129138
163.000000,508279.200919,432931.231334,-0.227289
164.000000,508278.843238,432931.040872,0.203816
165.000000,508277.389863,432924.095151,-1.966825
166.000000,508276.467190,432918.482711,-1.739283
167.000000,508275.955649,432913.927463,-1.328848
168.000000,508275.824275,432910.994581,-0.673485
169.000000,508276.061123,432910.412480,-0.059373
170.000000,508276.309210,432910.279871,0.142130
171.000000,508276.245514,432910.281507,0.554083
172.000000,508276.125291,432911.580845,1.436139
173.000000,508275.277807,432914.718546,2.916366
174.000000,508273.306786,432920.225839,4.518535
175.000000,508270.027332,432927.443992,6.031065
176.000000,508266.053323,432936.783478,7.609120
177.000000,508261.643430,432947.412265,8.897206
178.000000,508257.132692,432957.983326,9.488142
179.000000,508252.415861,432967.315538,9.553337
180.000000,508247.991059,432975.886117,9.540753
181.000000,508243.119286,432985.399347,10.306028
182.000000,508237.852049,432994.364360,10.342022
183.000000,508232.435240,433004.451291,10.856566
184.000000,508226.867229,433015.717232,11.608542
185.000000,508221.012355,433027.678660,12.159490
186.000000,508214.986895,433039.865537,12.606387
