time_offset,timestamp,gps_time,lat,long,alt,speed,bearing,osx,osy
42.002315521240234,1680681551.408625,2023-04-05T08:33:03.000Z,54.0013131,-0.4339172,16.436,4.803,249.0141,502749,457277
43.00231575965881,1680681552.4086251,2023-04-05T08:33:04.000Z,54.0012971,-0.4339884,16.205,5.014,247.8273,502744,457275
44.00231575965881,1680681553.4086251,2023-04-05T08:33:05.000Z,54.0012806,-0.4340594,15.754,4.918,247.2958,502740,457273
45.00231599807739,1680681554.4086254,2023-04-05T08:33:06.000Z,54.0012659,-0.4341267,15.399,4.673,248.2231,502735,457272
46.00231599807739,1680681555.4086254,2023-04-05T08:33:07.000Z,54.0012535,-0.4341917,15.937,4.619,249.6594,502731,457270
47.00231742858887,1680681556.4086268,2023-04-05T08:33:08.000Z,54.0012389,-0.4342585,15.878,4.741,248.4993,502727,457268
48.002318382263184,1680681557.4086277,2023-04-05T08:33:09.000Z,54.0012211,-0.4343257,15.651,4.81,245.3012,502722,457266
49.002318382263184,1680681558.4086277,2023-04-05T08:33:10.000Z,54.0012034,-0.4343901,16.178,4.832,243.7757,502718,457264
50.00231862068176,1680681559.408628,2023-04-05T08:33:11.000Z,54.0011831,-0.4344558,16.176,4.826,242.0298,502714,457262
51.00231885910034,1680681560.4086282,2023-04-05T08:33:12.000Z,54.0011618,-0.4345211,15.787,4.766,241.2782,502710,457259
52.00231909751892,1680681561.4086285,2023-04-05T08:33:13.000Z,54.0011405,-0.434586,14.841,4.671,242.6068,502706,457257
53.0023193359375,1680681562.4086287,2023-04-05T08:33:14.000Z,54.0011212,-0.4346493,14.609,4.616,242.5381,502702,457255
54.00232005119324,1680681563.4086294,2023-04-05T08:33:15.000Z,54.0011038,-0.4347112,15.042,4.543,242.1574,502698,457253
55.00232172012329,1680681564.408631,2023-04-05T08:33:16.000Z,54.0010891,-0.43477,15.566,4.348,244.459,502694,457251
56.00232195854187,1680681565.4086313,2023-04-05T08:33:17.000Z,54.0010799,-0.4348313,15.516,4.106,254.7097,502690,457250
57.00232291221619,1680681566.4086323,2023-04-05T08:33:18.000Z,54.0010794,-0.4348913,15.801,3.937,268.0429,502686,457250
58.002323389053345,1680681567.4086328,2023-04-05T08:33:19.000Z,54.0010867,-0.4349471,15.961,3.802,281.2491,502682,457250
59.00232458114624,1680681568.408634,2023-04-05T08:33:20.000Z,54.0011007,-0.4349894,16.32,3.138,288.3645,502679,457252
60.00232458114624,1680681569.408634,2023-04-05T08:33:21.000Z,54.0011156,-0.4350219,16.553,2.682,299.9345,502677,457254
61.002326011657715,1680681570.4086354,2023-04-05T08:33:22.000Z,54.0011315,-0.435051,17.16,2.599,307.6213,502675,457255
62.002326011657715,1680681571.4086354,2023-04-05T08:33:23.000Z,54.0011432,-0.4350755,17.572,1.973,307.4024,502674,457257
63.002326250076294,1680681572.4086356,2023-04-05T08:33:24.000Z,54.0011543,-0.4351037,17.706,2.389,302.7904,502672,457258
64.00232648849487,1680681573.4086359,2023-04-05T08:33:25.000Z,54.001168,-0.4351296,18.096,2.669,307.0655,502670,457259
65.00232672691345,1680681574.408636,2023-04-05T08:33:26.000Z,54.0011853,-0.4351532,18.735,2.714,313.1309,502668,457261
66.00232815742493,1680681575.4086375,2023-04-05T08:33:27.000Z,54.001212,-0.4351862,18.511,3.932,323.1566,502666,457264
67.00232863426208,1680681576.408638,2023-04-05T08:33:28.000Z,54.0012468,-0.4352095,18.681,4.354,335.7221,502664,457268
68.00233006477356,1680681577.4086394,2023-04-05T08:33:29.000Z,54.001286,-0.4352176,19.24,4.446,351.0301,502664,457272
69.00233197212219,1680681578.4086413,2023-04-05T08:33:30.000Z,54.0013289,-0.4352207,19.261,4.878,356.9004,502664,457277
70.00233364105225,1680681579.408643,2023-04-05T08:33:31.000Z,54.0013736,-0.4352209,19.867,5.059,359.5752,502663,457282
71.00233364105225,1680681580.408643,2023-04-05T08:33:32.000Z,54.0014191,-0.4352273,19.873,5.01,356.7804,502663,457287
72.00233435630798,1680681581.4086437,2023-04-05T08:33:33.000Z,54.0014642,-0.4352359,20.084,5.064,354.5486,502662,457292
73.00233507156372,1680681582.4086444,2023-04-05T08:33:34.000Z,54.001508,-0.4352425,20.402,4.892,354.0783,502662,457297
74.00233602523804,1680681583.4086454,2023-04-05T08:33:35.000Z,54.001553,-0.4352673,20.886,5.274,346.9713,502660,457302
75.00233697891235,1680681584.4086463,2023-04-05T08:33:36.000Z,54.0015964,-0.435284,21.729,4.87,346.6682,502659,457307
76.00233745574951,1680681585.4086468,2023-04-05T08:33:37.000Z,54.0016396,-0.4352956,21.71,4.929,349.4986,502658,457311
77.00233864784241,1680681586.408648,2023-04-05T08:33:38.000Z,54.0016848,-0.4353231,22.682,5.278,344.1654,502656,457316
78.00233960151672,1680681587.408649,2023-04-05T08:33:39.000Z,54.001729,-0.4353399,22.981,5.191,343.8688,502655,457321
79.00234055519104,1680681588.40865,2023-04-05T08:33:40.000Z,54.0017733,-0.4353647,23.512,5.369,340.3609,502653,457326
80.00234174728394,1680681589.408651,2023-04-05T08:33:41.000Z,54.0018152,-0.4353803,24.09,4.983,340.7045,502652,457331
81.00234270095825,1680681590.408652,2023-04-05T08:33:42.000Z,54.0018552,-0.435402,24.619,4.821,338.9622,502650,457335
82.00234413146973,1680681591.4086535,2023-04-05T08:33:43.000Z,54.0018955,-0.4354355,24.725,4.947,336.7537,502648,457340
83.00234603881836,1680681592.4086554,2023-04-05T08:33:44.000Z,54.0019348,-0.435471,25.176,4.973,334.0612,502646,457344
84.00234699249268,1680681593.4086564,2023-04-05T08:33:45.000Z,54.0019751,-0.4355043,25.361,5.215,332.8447,502643,457348
85.00234770774841,1680681594.408657,2023-04-05T08:33:46.000Z,54.0020168,-0.4355425,25.179,5.115,333.7744,502641,457353
86.00234770774841,1680681595.408657,2023-04-05T08:33:47.000Z,54.0020574,-0.435573,25.718,5.075,333.8655,502639,457358
87.00234913825989,1680681596.4086585,2023-04-05T08:33:48.000Z,54.0020982,-0.4356029,26.744,5.019,335.1272,502637,457362
88.00235056877136,1680681597.40866,2023-04-05T08:33:49.000Z,54.0021414,-0.4356394,26.563,5.131,335.9965,502634,457367
89.00235152244568,1680681598.408661,2023-04-05T08:33:50.000Z,54.0021842,-0.4356731,26.379,5.01,337.7729,502632,457372
90.00235319137573,1680681599.4086626,2023-04-05T08:33:51.000Z,54.0022272,-0.4357073,26.363,5.119,337.0087,502629,457376
91.0023546218872,1680681600.408664,2023-04-05T08:33:52.000Z,54.0022705,-0.4357405,25.932,5.229,336.8235,502627,457381
92.00235557556152,1680681601.408665,2023-04-05T08:33:53.000Z,54.0023126,-0.4357732,25.659,5.031,336.9335,502625,457386
93.0023558139801,1680681602.4086652,2023-04-05T08:33:54.000Z,54.0023535,-0.4358071,25.629,4.937,336.596,502623,457390
94.00235652923584,1680681603.408666,2023-04-05T08:33:55.000Z,54.002391,-0.435836,26.112,4.517,337.2906,502621,457394
95.00235652923584,1680681604.408666,2023-04-05T08:33:56.000Z,54.0024263,-0.43586,26.516,4.115,338.3463,502619,457398
96.00235676765442,1680681605.4086661,2023-04-05T08:33:57.000Z,54.002457,-0.4358819,27.263,3.523,337.5849,502617,457402
97.00235724449158,1680681606.4086666,2023-04-05T08:33:58.000Z,54.0024828,-0.4358973,28.142,3.098,337.9585,502616,457404
98.00235843658447,1680681607.4086678,2023-04-05T08:33:59.000Z,54.0025057,-0.4359104,28.839,2.88,336.9403,502615,457407
99.00236010551453,1680681608.4086695,2023-04-05T08:34:00.000Z,54.0025236,-0.4359203,30.221,2.468,335.2107,502615,457409
100.00236105918884,1680681609.4086704,2023-04-05T08:34:01.000Z,54.0025476,-0.4359507,31.071,3.551,326.5478,502613,457412
101.00236129760742,1680681610.4086707,2023-04-05T08:34:02.000Z,54.0025695,-0.4359717,31.914,3.198,325.6939,502611,457414
102.00236248970032,1680681611.4086719,2023-04-05T08:34:03.000Z,54.0025898,-0.4360194,32.324,3.955,309.2181,502608,457416
103.00236344337463,1680681612.4086728,2023-04-05T08:34:04.000Z,54.0025941,-0.4360877,33.416,3.812,294.8197,502604,457417
104.00236511230469,1680681613.4086745,2023-04-05T08:34:05.000Z,54.0025846,-0.436152,34.547,3.88,274.6718,502599,457415
105.00236654281616,1680681614.408676,2023-04-05T08:34:06.000Z,54.0025646,-0.4362106,36.061,4.486,253.5431,502596,457413
106.00236701965332,1680681615.4086764,2023-04-05T08:34:07.000Z,54.0025545,-0.4362671,37.378,4.161,250.4131,502592,457412
107.00236749649048,1680681616.4086769,2023-04-05T08:34:08.000Z,54.0025406,-0.4363309,35.939,4.298,246.703,502588,457410
108.00236797332764,1680681617.4086773,2023-04-05T08:34:09.000Z,54.0025222,-0.4363877,37.253,4.311,242.925,502584,457408
109.00236892700195,1680681618.4086783,2023-04-05T08:34:10.000Z,54.0025002,-0.4364412,38.511,4.399,238.2143,502581,457406
110.00237011909485,1680681619.4086795,2023-04-05T08:34:11.000Z,54.0024861,-0.4364973,38.693,3.95,241.7887,502577,457404
111.00237011909485,1680681620.4086795,2023-04-05T08:34:12.000Z,54.0024778,-0.436558,39.828,3.625,245.2636,502573,457403
112.00237035751343,1680681621.4086797,2023-04-05T08:34:13.000Z,54.0024662,-0.4366147,40.09,3.832,245.3271,502569,457402
113.00237083435059,1680681622.4086802,2023-04-05T08:34:14.000Z,54.0024483,-0.4366748,40.068,4.096,241.0416,502566,457399
114.00237154960632,1680681623.408681,2023-04-05T08:34:15.000Z,54.0024295,-0.4367302,39.169,4.114,236.1572,502562,457397
115.00237154960632,1680681624.408681,2023-04-05T08:34:16.000Z,54.002413,-0.4367891,38.61,4.25,238.4671,502558,457395
116.00237202644348,1680681625.4086814,2023-04-05T08:34:17.000Z,54.0023973,-0.4368578,37.938,4.41,241.2484,502554,457394
117.0023729801178,1680681626.4086823,2023-04-05T08:34:18.000Z,54.002378,-0.4369287,35.393,4.579,245.1293,502549,457391
118.00237369537354,1680681627.408683,2023-04-05T08:34:19.000Z,54.0023634,-0.4370019,33.897,4.758,248.8467,502544,457390
119.00237393379211,1680681628.4086833,2023-04-05T08:34:20.000Z,54.002352,-0.4370731,33.647,4.742,251.1104,502540,457388
120.0023741722107,1680681629.4086835,2023-04-05T08:34:21.000Z,54.0023382,-0.4371472,32.473,4.803,250.1918,502535,457387
121.00237536430359,1680681630.4086847,2023-04-05T08:34:22.000Z,54.0023231,-0.4372197,31.489,4.782,250.2115,502530,457385
122.00237655639648,1680681631.408686,2023-04-05T08:34:23.000Z,54.0023086,-0.4372895,30.324,4.821,248.3343,502526,457383
123.00237774848938,1680681632.408687,2023-04-05T08:34:24.000Z,54.0022982,-0.4373585,30.829,4.716,250.2145,502521,457382
124.00237941741943,1680681633.4086888,2023-04-05T08:34:25.000Z,54.0022852,-0.4374239,30.286,4.383,249.0483,502517,457380
125.00238084793091,1680681634.4086902,2023-04-05T08:34:26.000Z,54.0022766,-0.437485,30.935,4.214,249.4589,502513,457379
126.00238227844238,1680681635.4086916,2023-04-05T08:34:27.000Z,54.0022662,-0.4375485,31.899,4.328,248.4829,502509,457378
127.00238347053528,1680681636.4086928,2023-04-05T08:34:28.000Z,54.002256,-0.4376169,31.897,4.499,251.3258,502504,457377
128.0023844242096,1680681637.4086938,2023-04-05T08:34:29.000Z,54.0022464,-0.437683,31.946,4.445,254.0512,502500,457376
129.00238585472107,1680681638.4086952,2023-04-05T08:34:30.000Z,54.0022357,-0.437751,32.005,4.425,252.5567,502495,457374
130.00238728523254,1680681639.4086967,2023-04-05T08:34:31.000Z,54.0022236,-0.4378164,32.048,4.427,251.198,502491,457373
131.00388503074646,1680681640.4101944,2023-04-05T08:34:32.000Z,54.0022145,-0.4378828,32.216,4.365,253.9503,502487,457372
132.00388550758362,1680681641.4101949,2023-04-05T08:34:33.000Z,54.0022032,-0.4379473,32.798,4.405,250.5863,502483,457370
133.00388717651367,1680681642.4101965,2023-04-05T08:34:34.000Z,54.002189,-0.4380135,32.388,4.476,250.4551,502478,457369
134.00388860702515,1680681643.410198,2023-04-05T08:34:35.000Z,54.0021801,-0.4380804,33.192,4.662,252.06,502474,457368
135.0038902759552,1680681644.4101996,2023-04-05T08:34:36.000Z,54.0021708,-0.438146,34.193,4.348,252.3981,502470,457366
136.00389051437378,1680681645.4101999,2023-04-05T08:34:37.000Z,54.0021647,-0.4382135,35.39,4.379,255.6443,502465,457366
137.00389122962952,1680681646.4102006,2023-04-05T08:34:38.000Z,54.0021547,-0.438278,35.724,4.318,254.2508,502461,457364
138.003892660141,1680681647.410202,2023-04-05T08:34:39.000Z,54.0021422,-0.4383409,35.865,4.141,252.2628,502457,457363
139.003892660141,1680681648.410202,2023-04-05T08:34:40.000Z,54.0021317,-0.4383991,36.666,3.953,251.4916,502453,457362
140.0038936138153,1680681649.410203,2023-04-05T08:34:41.000Z,54.0021202,-0.4384632,37.422,4.123,251.6173,502449,457360
141.00389504432678,1680681650.4102044,2023-04-05T08:34:42.000Z,54.0021041,-0.4385349,36.881,4.446,250.8901,502444,457358
142.00389552116394,1680681651.410205,2023-04-05T08:34:43.000Z,54.0020909,-0.4386012,37.044,4.444,251.125,502440,457357
143.003897190094,1680681652.4102066,2023-04-05T08:34:44.000Z,54.0020808,-0.4386672,38.202,4.607,253.4399,502436,457356
144.0038981437683,1680681653.4102075,2023-04-05T08:34:45.000Z,54.0020684,-0.4387351,39.071,4.651,252.0986,502431,457354
145.00389862060547,1680681654.410208,2023-04-05T08:34:46.000Z,54.0020554,-0.4388054,39.445,4.788,252.2247,502427,457353
146.0039005279541,1680681655.41021,2023-04-05T08:34:47.000Z,54.0020426,-0.4388767,39.786,4.749,252.4161,502422,457351
147.00390148162842,1680681656.4102108,2023-04-05T08:34:48.000Z,54.0020292,-0.4389507,39.935,4.816,253.4001,502417,457350
148.003901720047,1680681657.410211,2023-04-05T08:34:49.000Z,54.0020144,-0.4390229,40.136,4.757,252.5248,502413,457348
149.00390338897705,1680681658.4102128,2023-04-05T08:34:50.000Z,54.0020023,-0.4390926,41.017,4.732,252.5226,502408,457346
150.00390529632568,1680681659.4102147,2023-04-05T08:34:51.000Z,54.0019885,-0.4391653,40.739,4.541,254.4216,502403,457345
151.00390625,1680681660.4102156,2023-04-05T08:34:52.000Z,54.0019766,-0.4392376,41.215,4.64,254.1558,502399,457343
152.00390768051147,1680681661.410217,2023-04-05T08:34:53.000Z,54.0019645,-0.4392946,42.241,3.949,250.5459,502395,457342
153.0039086341858,1680681662.410218,2023-04-05T08:34:54.000Z,54.0019492,-0.439362,41.519,4.522,251.1054,502391,457340
154.00390911102295,1680681663.4102185,2023-04-05T08:34:55.000Z,54.0019319,-0.4394316,40.845,4.563,249.1342,502386,457338
155.0039098262787,1680681664.4102192,2023-04-05T08:34:56.000Z,54.0019176,-0.4394995,40.395,4.467,250.0337,502382,457336
