time_offset,timestamp,revs,distance
2.9257,1678385688.9257,1,2.0700
3.8515,1678385689.8515,2,4.1400
14.7647,1678385700.7647,3,6.2100
15.5294,1678385701.5294,4,8.2800
15.5012,1678385701.5012,5,10.3500
16.0023,1678385702.0023,6,12.4200
16.6526,1678385702.6526,7,14.4900
17.3053,1678385703.3053,8,16.5600
17.6553,1678385703.6553,9,18.6300
18.3107,1678385704.3107,10,20.7000
18.2849,1678385704.2849,11,22.7700
18.5698,1678385704.5698,12,24.8400
18.8548,1678385704.8548,13,26.9100
19.1397,1678385705.1397,14,28.9800
20.6660,1678385706.6660,15,31.0500
21.3319,1678385707.3319,16,33.1200
21.7790,1678385707.7790,17,35.1900
22.5580,1678385708.5580,18,37.2600
23.9119,1678385709.9119,19,39.3300
24.8238,1678385710.8238,20,41.4000
25.3876,1678385711.3876,21,43.4700
25.7752,1678385711.7752,22,45.5400
26.1627,1678385712.1627,23,47.6100
27.4679,1678385713.4679,24,49.6800
27.9357,1678385713.9357,25,51.7500
28.4036,1678385714.4036,26,53.8200
28.9303,1678385714.9303,27,55.8900
29.8605,1678385715.8605,28,57.9600
29.5060,1678385715.5060,29,60.0300
30.0119,1678385716.0119,30,62.1000
30.4181,1678385716.4181,31,64.1700
30.8361,1678385716.8361,32,66.2400
31.2542,1678385717.2542,33,68.3100
31.4880,1678385717.4880,34,70.3800
31.9759,1678385717.9759,35,72.4500
32.4639,1678385718.4639,36,74.5200
32.0451,1678385718.0451,37,76.5900
32.0902,1678385718.0902,38,78.6600
32.1353,1678385718.1353,39,80.7300
32.1804,1678385718.1804,40,82.8000
32.2255,1678385718.2255,41,84.8700
32.2706,1678385718.2706,42,86.9400
32.3156,1678385718.3156,43,89.0100
32.3607,1678385718.3607,44,91.0800
32.4058,1678385718.4058,45,93.1500
32.4509,1678385718.4509,46,95.2200
32.4960,1678385718.4960,47,97.2900
32.5411,1678385718.5411,48,99.3600
32.5862,1678385718.5862,49,101.4300
32.6313,1678385718.6313,50,103.5000
32.6764,1678385718.6764,51,105.5700
32.7215,1678385718.7215,52,107.6400
32.7666,1678385718.7666,53,109.7100
32.8117,1678385718.8117,54,111.7800
32.8568,1678385718.8568,55,113.8500
32.9019,1678385718.9019,56,115.9200
32.9469,1678385718.9469,57,117.9900
32.9920,1678385718.9920,58,120.0600
33.0371,1678385719.0371,59,122.1300
33.2285,1678385719.2285,60,124.2000
33.4569,1678385719.4569,61,126.2700
33.6854,1678385719.6854,62,128.3400
33.9138,1678385719.9138,63,130.4100
34.1423,1678385720.1423,64,132.4800
34.4538,1678385720.4538,65,134.5500
34.9076,1678385720.9076,66,136.6200
35.3614,1678385721.3614,67,138.6900
35.4475,1678385721.4475,68,140.7600
35.8950,1678385721.8950,69,142.8300
36.3425,1678385722.3425,70,144.9000
37.2538,1678385723.2538,71,146.9700
37.5077,1678385723.5077,72,149.0400
37.7615,1678385723.7615,73,151.1100
38.0153,1678385724.0153,74,153.1800
38.2977,1678385724.2977,75,155.2500
38.5955,1678385724.5955,76,157.3200
38.8932,1678385724.8932,77,159.3900
39.1910,1678385725.1910,78,161.4600
39.2989,1678385725.2989,79,163.5300
39.5977,1678385725.5977,80,165.6000
39.8966,1678385725.8966,81,167.6700
40.1955,1678385726.1955,82,169.7400
40.3297,1678385726.3297,83,171.8100
40.6594,1678385726.6594,84,173.8800
40.9891,1678385726.9891,85,175.9500
41.3188,1678385727.3188,86,178.0200
41.2504,1678385727.2504,87,180.0900
41.5008,1678385727.5008,88,182.1600
41.7513,1678385727.7513,89,184.2300
42.0017,1678385728.0017,90,186.3000
42.1884,1678385728.1884,91,188.3700
42.3768,1678385728.3768,92,190.4400
42.5653,1678385728.5653,93,192.5100
42.7537,1678385728.7537,94,194.5800
42.9421,1678385728.9421,95,196.6500
43.1305,1678385729.1305,96,198.7200
43.1418,1678385729.1418,97,200.7900
43.2836,1678385729.2836,98,202.8600
43.4253,1678385729.4253,99,204.9300
43.5671,1678385729.5671,100,207.0000
43.7089,1678385729.7089,101,209.0700
43.8507,1678385729.8507,102,211.1400
43.9924,1678385729.9924,103,213.2100
44.1342,1678385730.1342,104,215.2800
44.2026,1678385730.2026,105,217.3500
44.4052,1678385730.4052,106,219.4200
44.6078,1678385730.6078,107,221.4900
44.8104,1678385730.8104,108,223.5600
45.0130,1678385731.0130,109,225.6300
45.1692,1678385731.1692,110,227.7000
45.3383,1678385731.3383,111,229.7700
45.5075,1678385731.5075,112,231.8400
45.6767,1678385731.6767,113,233.9100
45.8458,1678385731.8458,114,235.9800
46.0150,1678385732.0150,115,238.0500
46.1198,1678385732.1198,116,240.1200
46.2396,1678385732.2396,117,242.1900
46.3594,1678385732.3594,118,244.2600
46.4791,1678385732.4791,119,246.3300
46.5989,1678385732.5989,120,248.4000
46.7187,1678385732.7187,121,250.4700
46.8385,1678385732.8385,122,252.5400
46.9583,1678385732.9583,123,254.6100
47.0781,1678385733.0781,124,256.6800
47.1596,1678385733.1596,125,258.7500
47.3192,1678385733.3192,126,260.8200
47.4788,1678385733.4788,127,262.8900
47.6384,1678385733.6384,128,264.9600
47.7981,1678385733.7981,129,267.0300
47.9577,1678385733.9577,130,269.1000
48.1173,1678385734.1173,131,271.1700
48.1713,1678385734.1713,132,273.2400
48.3425,1678385734.3425,133,275.3100
48.5138,1678385734.5138,134,277.3800
48.6850,1678385734.6850,135,279.4500
48.8563,1678385734.8563,136,281.5200
49.0275,1678385735.0275,137,283.5900
49.1870,1678385735.1870,138,285.6600
49.3740,1678385735.3740,139,287.7300
49.5610,1678385735.5610,140,289.8000
49.7480,1678385735.7480,141,291.8700
49.9350,1678385735.9350,142,293.9400
50.1220,1678385736.1220,143,296.0100
50.1752,1678385736.1752,144,298.0800
50.3505,1678385736.3505,145,300.1500
50.5257,1678385736.5257,146,302.2200
50.7010,1678385736.7010,147,304.2900
50.8762,1678385736.8762,148,306.3600
51.0515,1678385737.0515,149,308.4300
51.1625,1678385737.1625,150,310.5000
51.3251,1678385737.3251,151,312.5700
51.4876,1678385737.4876,152,314.6400
51.6501,1678385737.6501,153,316.7100
51.8127,1678385737.8127,154,318.7800
51.9752,1678385737.9752,155,320.8500
52.1377,1678385738.1377,156,322.9200
52.1670,1678385738.1670,157,324.9900
52.3340,1678385738.3340,158,327.0600
52.5010,1678385738.5010,159,329.1300
52.6680,1678385738.6680,160,331.2000
52.8350,1678385738.8350,161,333.2700
53.0019,1678385739.0019,162,335.3400
53.2251,1678385739.2251,163,337.4100
53.4502,1678385739.4502,164,339.4800
53.6753,1678385739.6753,165,341.5500
53.9004,1678385739.9004,166,343.6200
54.1255,1678385740.1255,167,345.6900
54.1699,1678385740.1699,168,347.7600
54.3397,1678385740.3397,169,349.8300
54.5096,1678385740.5096,170,351.9000
54.6794,1678385740.6794,171,353.9700
54.8493,1678385740.8493,172,356.0400
55.0191,1678385741.0191,173,358.1100
55.1735,1678385741.1735,174,360.1800
55.3469,1678385741.3469,175,362.2500
55.5204,1678385741.5204,176,364.3200
55.6939,1678385741.6939,177,366.3900
55.8673,1678385741.8673,178,368.4600
56.0408,1678385742.0408,179,370.5300
56.1742,1678385742.1742,180,372.6000
56.3484,1678385742.3484,181,374.6700
56.5225,1678385742.5225,182,376.7400
56.6967,1678385742.6967,183,378.8100
56.8709,1678385742.8709,184,380.8800
57.0451,1678385743.0451,185,382.9500
57.1780,1678385743.1780,186,385.0200
57.3559,1678385743.3559,187,387.0900
57.5339,1678385743.5339,188,389.1600
57.7119,1678385743.7119,189,391.2300
57.8898,1678385743.8898,190,393.3000
58.0678,1678385744.0678,191,395.3700
58.1358,1678385744.1358,192,397.4400
58.2715,1678385744.2715,193,399.5100
58.4073,1678385744.4073,194,401.5800
58.5431,1678385744.5431,195,403.6500
58.6788,1678385744.6788,196,405.7200
58.8146,1678385744.8146,197,407.7900
58.9504,1678385744.9504,198,409.8600
59.0861,1678385745.0861,199,411.9300
59.1613,1678385745.1613,200,414.0000
59.3226,1678385745.3226,201,416.0700
59.4839,1678385745.4839,202,418.1400
59.6451,1678385745.6451,203,420.2100
59.8064,1678385745.8064,204,422.2800
59.9677,1678385745.9677,205,424.3500
60.1290,1678385746.1290,206,426.4200
60.1265,1678385746.1265,207,428.4900
60.2530,1678385746.2530,208,430.5600
60.3795,1678385746.3795,209,432.6300
60.5060,1678385746.5060,210,434.7000
60.6325,1678385746.6325,211,436.7700
60.7589,1678385746.7589,212,438.8400
60.8854,1678385746.8854,213,440.9100
61.0119,1678385747.0119,214,442.9800
61.1884,1678385747.1884,215,445.0500
61.3767,1678385747.3767,216,447.1200
61.5651,1678385747.5651,217,449.1900
61.7535,1678385747.7535,218,451.2600
61.9419,1678385747.9419,219,453.3300
62.1302,1678385748.1302,220,455.4000
62.1636,1678385748.1636,221,457.4700
62.3271,1678385748.3271,222,459.5400
62.4907,1678385748.4907,223,461.6100
62.6542,1678385748.6542,224,463.6800
62.8178,1678385748.8178,225,465.7500
62.9814,1678385748.9814,226,467.8200
63.1449,1678385749.1449,227,469.8900
63.1443,1678385749.1443,228,471.9600
63.2887,1678385749.2887,229,474.0300
63.4330,1678385749.4330,230,476.1000
63.5773,1678385749.5773,231,478.1700
63.7217,1678385749.7217,232,480.2400
63.8660,1678385749.8660,233,482.3100
64.0103,1678385750.0103,234,484.3800
64.1381,1678385750.1381,235,486.4500
64.2763,1678385750.2763,236,488.5200
64.4144,1678385750.4144,237,490.5900
64.5526,1678385750.5526,238,492.6600
64.6907,1678385750.6907,239,494.7300
64.8288,1678385750.8288,240,496.8000
64.9670,1678385750.9670,241,498.8700
65.1051,1678385751.1051,242,500.9400
65.1482,1678385751.1482,243,503.0100
65.2965,1678385751.2965,244,505.0800
65.4447,1678385751.4447,245,507.1500
65.5930,1678385751.5930,246,509.2200
65.7412,1678385751.7412,247,511.2900
65.8895,1678385751.8895,248,513.3600
66.0377,1678385752.0377,249,515.4300
66.1544,1678385752.1544,250,517.5000
