time_offset,timestamp,gps_time,lat,long,alt,speed,bearing,osx,osy
0.0,1678385686.0,2023-03-09 18:14:46+00:00,53.7726701,-0.3561284,0.0,0.192,0.0,508437,431957
1.0,1678385687.0,2023-03-09 18:14:47+00:00,53.772667,-0.3561288,0.0,0.093,0.0,508437,431956
2.0,1678385688.0,2023-03-09 18:14:48+00:00,53.7726597,-0.356125,0.0,0.123,0.0,508437,431956
3.0,1678385689.0,2023-03-09 18:14:49+00:00,53.7726526,-0.3561212,0.0,0.159,0.0,508438,431955
4.0,1678385690.0,2023-03-09 18:14:50+00:00,53.7726457,-0.3561174,0.0,0.299,0.0,508438,431954
5.0,1678385691.0,2023-03-09 18:14:51+00:00,53.772643,-0.3561179,0.0,0.392,0.0,508438,431954
6.0,1678385692.0,2023-03-09 18:14:52+00:00,53.7726416,-0.3561176,0.0,0.236,0.0,508438,431954
7.0,1678385693.0,2023-03-09 18:14:53+00:00,53.7726411,-0.3561175,0.0,0.083,0.0,508438,431953
8.0,1678385694.0,2023-03-09 18:14:54+00:00,53.7726423,-0.3561189,0.0,0.117,0.0,508438,431954
9.0,1678385695.0,2023-03-09 18:14:55+00:00,53.7726408,-0.3561157,0.0,0.1,0.0,508438,431953
10.0,1678385696.0,2023-03-09 18:14:56+00:00,53.7726386,-0.3561119,0.0,0.094,0.0,508438,431953
11.0,1678385697.0,2023-03-09 18:14:57+00:00,53.7726409,-0.356112,0.0,0.095,0.0,508438,431953
12.0,1678385698.0,2023-03-09 18:14:58+00:00,53.7726421,-0.3561111,0.0,0.154,0.0,508438,431954
13.0,1678385699.0,2023-03-09 18:14:59+00:00,53.772638,-0.3561092,0.0,0.206,0.0,508438,431953
14.0,1678385700.0,2023-03-09 18:15:00+00:00,53.7726358,-0.356107,0.0,0.164,0.0,508439,431953
15.0,1678385701.0,2023-03-09 18:15:01+00:00,53.7726633,-0.3560979,0.0,0.065,0.0,508439,431956
16.0,1678385702.0,2023-03-09 18:15:02+00:00,53.772712,-0.3561311,0.0,0.038,0.0,508437,431961
17.0,1678385703.0,2023-03-09 18:15:03+00:00,53.7726817,-0.3561142,0.0,0.058,0.0,508438,431958
18.0,1678385704.0,2023-03-09 18:15:04+00:00,53.7726448,-0.3560998,0.0,0.021,0.0,508439,431954
19.0,1678385705.0,2023-03-09 18:15:05+00:00,53.7725771,-0.3560697,0.0,0.008,0.0,508441,431946
20.0,1678385706.0,2023-03-09 18:15:06+00:00,53.7725556,-0.35606,0.0,0.049,0.0,508442,431944
21.0,1678385707.0,2023-03-09 18:15:07+00:00,53.7725382,-0.3560521,0.0,0.064,0.0,508442,431942
22.0,1678385708.0,2023-03-09 18:15:08+00:00,53.7725109,-0.3560356,0.0,0.025,0.0,508444,431939
23.0,1678385709.0,2023-03-09 18:15:09+00:00,53.7724842,-0.3560202,0.0,0.032,0.0,508445,431936
24.0,1678385710.0,2023-03-09 18:15:10+00:00,53.7725117,-0.3560382,0.0,0.066,0.0,508443,431939
25.0,1678385711.0,2023-03-09 18:15:11+00:00,53.7725093,-0.3560383,0.0,0.046,0.0,508443,431939
26.0,1678385712.0,2023-03-09 18:15:12+00:00,53.7724815,-0.3560195,0.0,0.466,0.0,508445,431936
27.0,1678385713.0,2023-03-09 18:15:13+00:00,53.7724734,-0.3559918,0.0,2.246,92.5202,508447,431935
28.0,1678385714.0,2023-03-09 18:15:14+00:00,53.772473,-0.3559423,0.0,3.947,92.6581,508450,431935
29.0,1678385715.0,2023-03-09 18:15:15+00:00,53.7724744,-0.3558743,0.0,5.077,92.3624,508454,431935
30.0,1678385716.0,2023-03-09 18:15:16+00:00,53.7724681,-0.3557863,0.0,5.28,93.222,508460,431935
31.0,1678385717.0,2023-03-09 18:15:17+00:00,53.7724661,-0.3557054,0.0,5.253,93.3048,508465,431935
32.0,1678385718.0,2023-03-09 18:15:18+00:00,53.7724827,-0.3556314,0.0,5.453,93.3847,508470,431937
33.0,1678385719.0,2023-03-09 18:15:19+00:00,53.7721052,-0.3553709,0.0,5.579,90.9865,508488,431895
34.0,1678385720.0,2023-03-09 18:15:20+00:00,53.7720549,-0.3552499,0.0,5.439,91.1987,508497,431890
35.0,1678385721.0,2023-03-09 18:15:21+00:00,53.7720271,-0.3551659,0.0,5.131,92.4668,508502,431887
36.0,1678385722.0,2023-03-09 18:15:22+00:00,53.7720239,-0.3550813,0.0,4.597,91.4217,508508,431886
37.0,1678385723.0,2023-03-09 18:15:23+00:00,53.7720322,-0.3550487,0.0,3.525,74.1118,508510,431887
38.0,1678385724.0,2023-03-09 18:15:24+00:00,53.7720946,-0.3550334,0.0,3.839,26.9839,508511,431894
39.0,1678385725.0,2023-03-09 18:15:25+00:00,53.7721584,-0.3550471,0.0,4.772,9.4815,508510,431901
40.0,1678385726.0,2023-03-09 18:15:26+00:00,53.7722227,-0.3550753,0.0,6.221,357.8441,508508,431909
41.0,1678385727.0,2023-03-09 18:15:27+00:00,53.7722909,-0.3551144,0.0,6.771,351.1439,508505,431916
42.0,1678385728.0,2023-03-09 18:15:28+00:00,53.7723844,-0.3551388,0.0,7.928,347.9273,508503,431926
43.0,1678385729.0,2023-03-09 18:15:29+00:00,53.7724814,-0.3551282,0.0,8.429,352.9913,508503,431937
44.0,1678385730.0,2023-03-09 18:15:30+00:00,53.7726245,-0.3551453,0.0,10.451,0.9555,508502,431953
45.0,1678385731.0,2023-03-09 18:15:31+00:00,53.7727278,-0.3551706,0.0,10.467,355.1506,508500,431965
46.0,1678385732.0,2023-03-09 18:15:32+00:00,53.7728438,-0.3552118,0.0,11.254,349.6345,508497,431977
47.0,1678385733.0,2023-03-09 18:15:33+00:00,53.7729915,-0.3552661,0.0,12.66,348.5986,508493,431994
48.0,1678385734.0,2023-03-09 18:15:34+00:00,53.7731185,-0.3553147,0.0,12.957,349.6063,508490,432008
